genome_id	antibiotic	phenotype	method	measurement	unit
573.13219	cefepime	R	Broth dilution	>16	mg/L
573.24308	cefepime	S	Broth dilution	2	mg/L
573.14309	cefepime	S	Broth dilution	<=1	mg/L
573.48238	cefepime	R	Computational Prediction		
573.50621	cefepime	S	Computational Prediction		
573.13010	cefepime	R	Broth dilution	>16	mg/L
573.13894	cefepime	S	Broth dilution	<=1	mg/L
573.50474	cefepime	R	Computational Prediction		
573.13338	cefepime	S	Broth dilution	<=1	mg/L
573.14491	cefepime	R	Broth dilution	>16	mg/L
573.50480	cefepime	R	Computational Prediction		
573.13460	cefepime	S	Broth dilution	<=1	mg/L
573.12985	cefepime	S	Broth dilution	<=0.5	mg/L
573.49004	cefepime	S	Computational Prediction		
573.14439	cefepime	R	Broth dilution	>16	mg/L
573.15524	cefepime	S	Broth dilution		
573.13215	cefepime	R	Broth dilution	>16	mg/L
573.15582	cefepime	S	Broth dilution		
573.48169	cefepime	R	Computational Prediction		
573.15217	cefepime	R	Broth dilution	==32	mg/L
573.13507	cefepime	R	Broth dilution	>16	mg/L
573.26120	cefepime	S	Broth dilution		
573.12952	cefepime	R	Broth dilution	>16	mg/L
573.9721	cefepime	R	Broth dilution	>32	mg/L
573.12977	cefepime	R	Broth dilution	>16	mg/L
573.49058	cefepime	R	Computational Prediction		
573.13531	cefepime	R	Broth dilution	>16	mg/L
573.13591	cefepime	R	Broth dilution	>16	mg/L
573.26305	cefepime	R	Broth dilution		
573.14440	cefepime	S	Broth dilution	2	mg/L
573.48966	cefepime	R	Computational Prediction		
573.24425	cefepime	R	Broth dilution	32	mg/L
573.14338	cefepime	S	Broth dilution	<=1	mg/L
573.13074	cefepime	R	Broth dilution	>16	mg/L
573.48261	cefepime	R	Computational Prediction		
573.24398	cefepime	R	Broth dilution	32	mg/L
573.48947	cefepime	S	Computational Prediction		
573.5820	cefepime	R	Broth dilution	>=64	mg/L
573.49095	cefepime	S	Computational Prediction		
573.26224	cefepime	S	Broth dilution		
573.23217	cefepime	R	Disk diffusion		
573.26170	cefepime	S	Broth dilution		
573.13562	cefepime	R	Broth dilution	>16	mg/L
573.14246	cefepime	R	Broth dilution	>16	mg/L
573.48040	cefepime	R	Computational Prediction		
573.49145	cefepime	R	Computational Prediction		
573.14241	cefepime	R	Broth dilution	>16	mg/L
573.13842	cefepime	R	Broth dilution	>16	mg/L
573.13326	cefepime	R	Broth dilution	>16	mg/L
573.24362	cefepime	R	Broth dilution	32	mg/L
573.24357	cefepime	R	Broth dilution	32	mg/L
573.49017	cefepime	R	Computational Prediction		
573.14478	cefepime	S	Broth dilution	<=1	mg/L
573.13321	cefepime	S	Broth dilution	<=1	mg/L
573.26289	cefepime	S	Broth dilution		
573.46870	cefepime	R	Broth dilution	>16	mg/L
573.13706	cefepime	R	Broth dilution	>16	mg/L
573.13999	cefepime	R	Broth dilution	>16	mg/L
573.12978	cefepime	S	Broth dilution	<=0.5	mg/L
573.15551	cefepime	S	Broth dilution		
573.48123	cefepime	R	Computational Prediction		
573.13710	cefepime	R	Broth dilution	>16	mg/L
573.13027	cefepime	S	Broth dilution	<=0.5	mg/L
573.13928	cefepime	S	Broth dilution	<=1	mg/L
573.50525	cefepime	S	Computational Prediction		
573.48041	cefepime	R	Computational Prediction		
573.13297	cefepime	S	Broth dilution	<=1	mg/L
573.26182	cefepime	S	Broth dilution		
573.20065	cefepime	R	Broth dilution	>32	mg/L
573.46856	cefepime	R	Broth dilution	>16	mg/L
573.46840	cefepime	R	Broth dilution	>16	mg/L
573.48051	cefepime	R	Computational Prediction		
573.13970	cefepime	R	Broth dilution	>16	mg/L
573.48252	cefepime	R	Computational Prediction		
573.49157	cefepime	S	Computational Prediction		
573.13932	cefepime	R	Broth dilution	>16	mg/L
573.46070	cefepime	S	Broth dilution		
573.13965	cefepime	R	Broth dilution	>16	mg/L
573.14094	cefepime	R	Broth dilution	>16	mg/L
573.14305	cefepime	S	Broth dilution	<=1	mg/L
573.15107	cefepime	R	Broth dilution	==32	mg/L
573.14227	cefepime	S	Broth dilution	<=1	mg/L
573.49018	cefepime	R	Computational Prediction		
573.5649	cefepime	R	Broth dilution	>32	mg/L
573.12796	cefepime	R	Broth dilution	>32	mg/L
573.46841	cefepime	R	Broth dilution	>16	mg/L
573.13840	cefepime	R	Broth dilution	>16	mg/L
573.48229	cefepime	R	Computational Prediction		
573.26187	cefepime	S	Broth dilution		
573.50603	cefepime	S	Computational Prediction		
573.14110	cefepime	R	Broth dilution	16	mg/L
573.12865	cefepime	S	Broth dilution	<=0.5	mg/L
573.13951	cefepime	R	Broth dilution	16	mg/L
573.14516	cefepime	R	Broth dilution	16	mg/L
573.14202	cefepime	S	Broth dilution	<=1	mg/L
573.13497	cefepime	R	Broth dilution	>16	mg/L
573.48266	cefepime	R	Computational Prediction		
573.50548	cefepime	S	Computational Prediction		
573.24433	cefepime	R	Broth dilution	32	mg/L
573.5823	cefepime	R	Broth dilution	>=64	mg/L
573.12986	cefepime	S	Broth dilution	<=0.5	mg/L
573.12948	cefepime	R	Broth dilution	>16	mg/L
573.13139	cefepime	R	Broth dilution	>16	mg/L
573.13148	cefepime	S	Broth dilution	<=1	mg/L
573.14350	cefepime	R	Broth dilution	>16	mg/L
573.48968	cefepime	R	Computational Prediction		
573.13869	cefepime	R	Broth dilution	>16	mg/L
573.50542	cefepime	R	Computational Prediction		
573.13823	cefepime	R	Broth dilution	>16	mg/L
573.48268	cefepime	R	Computational Prediction		
573.31071	cefepime	S	Disk diffusion		
573.50441	cefepime	S	Computational Prediction		
573.13433	cefepime	R	Broth dilution	>16	mg/L
573.14101	cefepime	R	Broth dilution	>16	mg/L
573.31079	cefepime	S	Disk diffusion		
573.14308	cefepime	R	Broth dilution	16	mg/L
573.26286	cefepime	S	Broth dilution		
573.13230	cefepime	R	Broth dilution	>16	mg/L
573.48021	cefepime	R	Computational Prediction		
573.13420	cefepime	R	Broth dilution	16	mg/L
573.13224	cefepime	S	Broth dilution	<=1	mg/L
573.26094	cefepime	S	Broth dilution		
573.5799	cefepime	S	Broth dilution	<=1	mg/L
573.13007	cefepime	R	Broth dilution	>16	mg/L
573.13264	cefepime	S	Broth dilution	<=1	mg/L
573.26221	cefepime	S	Broth dilution		
573.13721	cefepime	R	Broth dilution	>16	mg/L
573.48139	cefepime	S	Computational Prediction		
573.49014	cefepime	R	Computational Prediction		
573.13921	cefepime	R	Broth dilution	>16	mg/L
573.13328	cefepime	S	Broth dilution	<=1	mg/L
573.13787	cefepime	R	Broth dilution	>16	mg/L
573.14340	cefepime	R	Broth dilution	>16	mg/L
573.13353	cefepime	R	Broth dilution	>16	mg/L
573.12912	cefepime	S	Broth dilution	<=0.5	mg/L
573.14485	cefepime	R	Broth dilution	>16	mg/L
573.13461	cefepime	R	Broth dilution	16	mg/L
573.24379	cefepime	R	Broth dilution	32	mg/L
573.26125	cefepime	S	Broth dilution		
573.26157	cefepime	S	Broth dilution		
573.26311	cefepime	R	Broth dilution		
573.48163	cefepime	R	Computational Prediction		
573.14034	cefepime	R	Broth dilution	>16	mg/L
573.24244	cefepime	S	Broth dilution	2	mg/L
573.13207	cefepime	R	Broth dilution	>16	mg/L
573.13644	cefepime	S	Broth dilution	<=1	mg/L
573.24392	cefepime	R	Broth dilution	32	mg/L
573.48962	cefepime	S	Computational Prediction		
573.26172	cefepime	S	Broth dilution		
573.50575	cefepime	S	Computational Prediction		
573.13714	cefepime	R	Broth dilution	>16	mg/L
573.14493	cefepime	S	Broth dilution	<=1	mg/L
573.24418	cefepime	S	Broth dilution	8	mg/L
573.26209	cefepime	S	Broth dilution		
573.50488	cefepime	S	Computational Prediction		
573.13969	cefepime	R	Broth dilution	16	mg/L
573.14287	cefepime	S	Broth dilution	<=1	mg/L
573.13593	cefepime	R	Broth dilution	16	mg/L
573.24342	cefepime	S	Broth dilution	2	mg/L
573.13064	cefepime	R	Broth dilution	>16	mg/L
573.14315	cefepime	R	Broth dilution	>16	mg/L
573.13269	cefepime	R	Broth dilution	>16	mg/L
573.12910	cefepime	S	Broth dilution	1	mg/L
573.18543	cefepime	R	Broth dilution	>32	mg/L
573.13371	cefepime	R	Broth dilution	>16	mg/L
573.14513	cefepime	S	Broth dilution	<=1	mg/L
573.15108	cefepime	R	Broth dilution	>32	mg/L
573.13564	cefepime	S	Broth dilution	<=1	mg/L
573.26089	cefepime	S	Broth dilution		
573.14417	cefepime	R	Broth dilution	>16	mg/L
573.13124	cefepime	R	Broth dilution	>16	mg/L
573.48038	cefepime	R	Computational Prediction		
573.31064	cefepime	R	Disk diffusion		
573.13476	cefepime	R	Broth dilution	>16	mg/L
573.14525	cefepime	R	Broth dilution	>16	mg/L
573.13325	cefepime	R	Broth dilution	>16	mg/L
573.13190	cefepime	R	Broth dilution	>16	mg/L
573.13588	cefepime	R	Broth dilution	>16	mg/L
573.34250	cefepime	S	Broth dilution		
573.14375	cefepime	R	Broth dilution	>16	mg/L
573.48218	cefepime	R	Computational Prediction		
573.49007	cefepime	R	Computational Prediction		
573.46093	cefepime	S	Broth dilution		
573.48073	cefepime	R	Computational Prediction		
573.13530	cefepime	S	Broth dilution	<=1	mg/L
573.12941	cefepime	S	Broth dilution	<=0.5	mg/L
573.26106	cefepime	S	Broth dilution		
573.49005	cefepime	R	Computational Prediction		
573.48055	cefepime	R	Computational Prediction		
573.13993	cefepime	R	Broth dilution	>16	mg/L
573.13169	cefepime	R	Broth dilution	>16	mg/L
573.15529	cefepime	S	Broth dilution		
573.50584	cefepime	R	MIC	>=64	mg/L
573.13522	cefepime	S	Broth dilution	<=1	mg/L
573.50510	cefepime	S	Computational Prediction		
573.50432	cefepime	S	Computational Prediction		
573.13462	cefepime	S	Broth dilution	<=1	mg/L
573.14496	cefepime	S	Broth dilution	<=1	mg/L
573.14119	cefepime	R	Broth dilution	>16	mg/L
573.49105	cefepime	S	Computational Prediction		
573.13595	cefepime	R	Broth dilution	>16	mg/L
573.13210	cefepime	R	Broth dilution	>16	mg/L
573.24451	cefepime	R	Broth dilution	32	mg/L
573.13510	cefepime	S	Broth dilution	<=1	mg/L
573.14393	cefepime	R	Broth dilution	>16	mg/L
573.13728	cefepime	R	Broth dilution	>16	mg/L
573.15522	cefepime	S	Broth dilution		
573.17914	cefepime	R	Broth dilution	>32	mg/L
573.49016	cefepime	R	Computational Prediction		
573.46086	cefepime	S	Broth dilution		
573.49067	cefepime	S	Computational Prediction		
573.14160	cefepime	R	Broth dilution	>16	mg/L
573.48137	cefepime	S	Computational Prediction		
573.13346	cefepime	R	Broth dilution	>16	mg/L
573.31063	cefepime	S	Disk diffusion		
573.14123	cefepime	R	Broth dilution	>16	mg/L
573.13863	cefepime	R	Broth dilution	>16	mg/L
573.24453	cefepime	R	Broth dilution	32	mg/L
573.13941	cefepime	R	Broth dilution	>16	mg/L
573.12772	cefepime	R	Broth dilution	>32	mg/L
573.24439	cefepime	R	Broth dilution	32	mg/L
573.13948	cefepime	S	Broth dilution	<=1	mg/L
573.49114	cefepime	R	Computational Prediction		
573.26272	cefepime	S	Broth dilution		
573.23213	cefepime	R	Disk diffusion		
573.48029	cefepime	R	Computational Prediction		
573.26202	cefepime	S	Broth dilution		
573.13519	cefepime	S	Broth dilution	<=1	mg/L
573.12885	cefepime	S	Broth dilution	<=0.5	mg/L
573.14397	cefepime	R	Broth dilution	>16	mg/L
573.13935	cefepime	R	Broth dilution	>16	mg/L
573.24435	cefepime	R	Broth dilution	32	mg/L
573.15593	cefepime	S	Broth dilution		
573.26243	cefepime	S	Broth dilution		
573.13090	cefepime	R	Broth dilution	>16	mg/L
573.48138	cefepime	S	Computational Prediction		
573.13055	cefepime	R	Broth dilution	>16	mg/L
573.12892	cefepime	R	Broth dilution	16	mg/L
573.14161	cefepime	R	Broth dilution	>16	mg/L
573.26145	cefepime	S	Broth dilution		
573.13499	cefepime	R	Broth dilution	>16	mg/L
573.14285	cefepime	S	Broth dilution	<=1	mg/L
573.5800	cefepime	R	Broth dilution	>=64	mg/L
573.50560	cefepime	S	Computational Prediction		
573.49049	cefepime	S	Computational Prediction		
573.5663	cefepime	R	Broth dilution	16	mg/L
573.14488	cefepime	S	Broth dilution	<=1	mg/L
573.13108	cefepime	S	Broth dilution	<=1	mg/L
573.49074	cefepime	R	Computational Prediction		
573.14109	cefepime	S	Broth dilution	<=1	mg/L
573.13676	cefepime	R	Broth dilution	>16	mg/L
573.13212	cefepime	S	Broth dilution	<=1	mg/L
573.46871	cefepime	R	Broth dilution	>16	mg/L
573.26265	cefepime	S	Broth dilution		
573.26121	cefepime	S	Broth dilution		
573.48939	cefepime	R	Computational Prediction		
573.14217	cefepime	S	Broth dilution	<=1	mg/L
573.15608	cefepime	S	Broth dilution		
573.13044	cefepime	R	Broth dilution	16	mg/L
573.13194	cefepime	S	Broth dilution	<=1	mg/L
573.13477	cefepime	R	Broth dilution	16	mg/L
573.49121	cefepime	R	Computational Prediction		
573.14518	cefepime	R	Broth dilution	>16	mg/L
573.5809	cefepime	R	Broth dilution	>=64	mg/L
573.9722	cefepime	R	Broth dilution	>32	mg/L
573.13107	cefepime	R	Broth dilution	>16	mg/L
573.14325	cefepime	S	Broth dilution	<=1	mg/L
573.13072	cefepime	R	Broth dilution	>16	mg/L
573.24393	cefepime	R	Broth dilution	32	mg/L
573.50438	cefepime	S	Computational Prediction		
573.14166	cefepime	S	Broth dilution	<=1	mg/L
573.13702	cefepime	R	Broth dilution	>16	mg/L
573.48095	cefepime	R	Computational Prediction		
573.13434	cefepime	S	Broth dilution	<=1	mg/L
573.26207	cefepime	S	Broth dilution		
573.50493	cefepime	S	Computational Prediction		
573.48242	cefepime	R	Computational Prediction		
573.5828	cefepime	S	Broth dilution	<=1	mg/L
573.5645	cefepime	R	Broth dilution	>=16	mg/L
573.13053	cefepime	R	Broth dilution	>16	mg/L
573.50434	cefepime	S	Computational Prediction		
573.13360	cefepime	S	Broth dilution	<=1	mg/L
573.26167	cefepime	S	Broth dilution		
573.13774	cefepime	R	Broth dilution	>16	mg/L
573.49030	cefepime	S	Computational Prediction		
573.48027	cefepime	R	Computational Prediction		
573.48940	cefepime	R	Computational Prediction		
573.13119	cefepime	S	Broth dilution	<=1	mg/L
573.15362	cefepime	S	Broth dilution		
573.13093	cefepime	R	Broth dilution	>16	mg/L
573.15586	cefepime	S	Broth dilution		
573.24363	cefepime	R	Broth dilution	32	mg/L
573.50618	cefepime	S	Computational Prediction		
573.49064	cefepime	R	Computational Prediction		
573.13922	cefepime	R	Broth dilution	>16	mg/L
573.15377	cefepime	S	Broth dilution		
573.26086	cefepime	S	Broth dilution		
573.13962	cefepime	S	Broth dilution	<=1	mg/L
573.15526	cefepime	S	Broth dilution		
573.13817	cefepime	R	Broth dilution	>16	mg/L
573.9723	cefepime	R	Broth dilution	>32	mg/L
573.14127	cefepime	R	Broth dilution	>16	mg/L
573.12859	cefepime	S	Broth dilution	<=0.5	mg/L
573.50452	cefepime	R	Computational Prediction		
573.14219	cefepime	R	Broth dilution	16	mg/L
573.50591	cefepime	R	Computational Prediction		
573.13730	cefepime	R	Broth dilution	>16	mg/L
573.50571	cefepime	S	Computational Prediction		
573.14076	cefepime	R	Broth dilution	16	mg/L
573.48957	cefepime	R	Computational Prediction		
573.14200	cefepime	R	Broth dilution	16	mg/L
573.13059	cefepime	S	Broth dilution	<=1	mg/L
573.46068	cefepime	R	Broth dilution		
573.5822	cefepime	S	Broth dilution	<=1	mg/L
573.13848	cefepime	R	Broth dilution	16	mg/L
573.14343	cefepime	R	Broth dilution	16	mg/L
573.48093	cefepime	R	Computational Prediction		
573.13757	cefepime	S	Broth dilution	<=1	mg/L
573.48160	cefepime	S	Computational Prediction		
573.48157	cefepime	S	Computational Prediction		
573.48186	cefepime	R	Computational Prediction		
573.5770	cefepime	R	Broth dilution	>64	mg/L
573.50588	cefepime	R	Computational Prediction		
573.24440	cefepime	R	Broth dilution	32	mg/L
573.14467	cefepime	S	Broth dilution	<=1	mg/L
573.14263	cefepime	R	Broth dilution	16	mg/L
573.26107	cefepime	S	Broth dilution		
573.13208	cefepime	R	Broth dilution	>16	mg/L
573.14316	cefepime	R	Broth dilution	>16	mg/L
573.48977	cefepime	S	Computational Prediction		
573.50520	cefepime	S	Computational Prediction		
573.49048	cefepime	S	Computational Prediction		
573.13533	cefepime	R	Broth dilution	>16	mg/L
573.48031	cefepime	R	Computational Prediction		
573.13920	cefepime	R	Broth dilution	16	mg/L
573.13438	cefepime	R	Broth dilution	>16	mg/L
573.50530	cefepime	S	Computational Prediction		
573.14017	cefepime	S	Broth dilution	<=1	mg/L
573.26159	cefepime	S	Broth dilution		
573.5644	cefepime	R	Broth dilution	>64	mg/L
573.5819	cefepime	R	Broth dilution	>=64	mg/L
573.13643	cefepime	R	Broth dilution	>16	mg/L
573.14105	cefepime	R	Broth dilution	>16	mg/L
573.13628	cefepime	R	Broth dilution	>16	mg/L
573.26232	cefepime	R	Broth dilution		
573.13266	cefepime	S	Broth dilution	<=1	mg/L
573.13619	cefepime	R	Broth dilution	>16	mg/L
573.13407	cefepime	R	Broth dilution	>16	mg/L
573.46115	cefepime	S	Broth dilution		
573.14147	cefepime	S	Broth dilution	<=1	mg/L
573.12940	cefepime	S	Broth dilution	<=0.5	mg/L
573.12874	cefepime	S	Broth dilution	2	mg/L
573.13099	cefepime	R	Broth dilution	>16	mg/L
573.24296	cefepime	S	Broth dilution	1	mg/L
573.50470	cefepime	S	Computational Prediction		
573.26115	cefepime	S	Broth dilution		
573.48244	cefepime	R	Computational Prediction		
573.48953	cefepime	R	Computational Prediction		
573.48196	cefepime	R	Computational Prediction		
573.13000	cefepime	S	Broth dilution	<=0.5	mg/L
573.12991	cefepime	S	Broth dilution	<=0.5	mg/L
573.13380	cefepime	S	Broth dilution	<=1	mg/L
573.14022	cefepime	R	Broth dilution	16	mg/L
573.14133	cefepime	S	Broth dilution	2	mg/L
573.49111	cefepime	R	Computational Prediction		
573.50430	cefepime	S	Computational Prediction		
573.54649	cefepime	R	MIC	>8	mg/L
573.13864	cefepime	R	Broth dilution	>16	mg/L
573.14453	cefepime	S	Broth dilution	<=1	mg/L
573.14437	cefepime	R	Broth dilution	16	mg/L
573.14501	cefepime	S	Broth dilution	<=1	mg/L
573.13546	cefepime	R	Broth dilution	16	mg/L
573.5813	cefepime	R	Broth dilution	>=64	mg/L
573.13081	cefepime	R	Broth dilution	>16	mg/L
573.25568	cefepime	R	Broth dilution	>=16	mg/L
573.13109	cefepime	S	Broth dilution	<=1	mg/L
573.15567	cefepime	S	Broth dilution		
573.24360	cefepime	R	Broth dilution	32	mg/L
573.46857	cefepime	R	Broth dilution	>16	mg/L
573.12953	cefepime	R	Broth dilution	>16	mg/L
573.14189	cefepime	R	Broth dilution	>16	mg/L
573.13106	cefepime	R	Broth dilution	>16	mg/L
573.48036	cefepime	R	Computational Prediction		
573.26310	cefepime	R	Broth dilution		
573.48272	cefepime	R	Computational Prediction		
573.49098	cefepime	S	Computational Prediction		
573.14415	cefepime	R	Broth dilution	>16	mg/L
573.14141	cefepime	S	Broth dilution	<=1	mg/L
573.13747	cefepime	S	Broth dilution	<=1	mg/L
573.48074	cefepime	R	Computational Prediction		
573.26193	cefepime	S	Broth dilution		
573.24251	cefepime	R	Broth dilution	32	mg/L
573.5778	cefepime	R	Broth dilution	>=16	mg/L
573.24356	cefepime	R	Broth dilution	32	mg/L
573.14492	cefepime	S	Broth dilution	<=1	mg/L
573.13483	cefepime	R	Broth dilution	>16	mg/L
573.13355	cefepime	S	Broth dilution	<=1	mg/L
573.50504	cefepime	R	Computational Prediction		
573.48088	cefepime	R	Computational Prediction		
573.49032	cefepime	S	Computational Prediction		
573.26137	cefepime	S	Broth dilution		
573.14064	cefepime	S	Broth dilution	<=1	mg/L
573.49120	cefepime	R	Computational Prediction		
573.13934	cefepime	R	Broth dilution	>16	mg/L
573.49023	cefepime	S	Computational Prediction		
573.24298	cefepime	S	Broth dilution	2	mg/L
573.49079	cefepime	S	Computational Prediction		
573.46842	cefepime	R	Broth dilution	>16	mg/L
573.15420	cefepime	R	Broth dilution	==32	mg/L
573.12918	cefepime	R	Broth dilution	>16	mg/L
573.13622	cefepime	R	Broth dilution	>16	mg/L
573.26312	cefepime	S	Broth dilution		
573.49129	cefepime	R	Computational Prediction		
573.26314	cefepime	S	Broth dilution		
573.14173	cefepime	S	Broth dilution	<=1	mg/L
573.48205	cefepime	R	Computational Prediction		
573.48115	cefepime	R	Computational Prediction		
573.14403	cefepime	S	Broth dilution	<=1	mg/L
573.46066	cefepime	S	Broth dilution		
573.48090	cefepime	R	Computational Prediction		
573.24381	cefepime	S	Broth dilution	0.5	mg/L
573.13908	cefepime	R	Broth dilution	16	mg/L
573.26084	cefepime	S	Broth dilution		
573.14354	cefepime	R	Broth dilution	>16	mg/L
573.13661	cefepime	S	Broth dilution	<=1	mg/L
573.50396	cefepime	S	Computational Prediction		
573.13783	cefepime	S	Broth dilution	<=1	mg/L
573.24292	cefepime	S	Broth dilution	2	mg/L
573.48253	cefepime	R	Computational Prediction		
573.13602	cefepime	R	Broth dilution	>16	mg/L
573.50619	cefepime	S	Computational Prediction		
573.24301	cefepime	S	Broth dilution	8	mg/L
573.12995	cefepime	S	Broth dilution	<=0.5	mg/L
573.24249	cefepime	S	Broth dilution	2	mg/L
573.14505	cefepime	R	Broth dilution	>16	mg/L
573.50557	cefepime	S	Computational Prediction		
573.18086	cefepime	R	Broth dilution	>32	mg/L
573.49055	cefepime	R	Computational Prediction		
573.50423	cefepime	S	Computational Prediction		
573.24307	cefepime	S	Broth dilution	64	mg/L
573.5624	cefepime	R	Broth dilution	>64	mg/L
573.14432	cefepime	R	Broth dilution	16	mg/L
573.13715	cefepime	R	Broth dilution	>16	mg/L
573.26241	cefepime	S	Broth dilution		
573.48149	cefepime	R	Computational Prediction		
573.13568	cefepime	R	Broth dilution	>16	mg/L
573.13581	cefepime	S	Broth dilution	<=1	mg/L
573.48168	cefepime	R	Computational Prediction		
573.49063	cefepime	R	Computational Prediction		
573.7029	cefepime	R	Broth dilution	>32	mg/L
573.49037	cefepime	S	Computational Prediction		
573.24443	cefepime	R	Broth dilution	32	mg/L
573.13849	cefepime	R	Broth dilution	16	mg/L
573.48043	cefepime	R	Computational Prediction		
573.14215	cefepime	R	Broth dilution	>16	mg/L
573.12934	cefepime	S	Broth dilution	<=0.5	mg/L
573.14150	cefepime	S	Broth dilution	<=1	mg/L
573.15629	cefepime	R	Broth dilution		
573.26077	cefepime	S	Broth dilution		
573.13298	cefepime	R	Broth dilution	>16	mg/L
573.13672	cefepime	R	Broth dilution	>16	mg/L
573.13713	cefepime	S	Broth dilution	<=1	mg/L
573.50460	cefepime	S	Computational Prediction		
573.48119	cefepime	R	Computational Prediction		
573.26277	cefepime	S	Broth dilution		
573.26139	cefepime	R	Broth dilution		
573.13549	cefepime	R	Broth dilution	>16	mg/L
573.14260	cefepime	R	Broth dilution	>16	mg/L
573.12921	cefepime	S	Broth dilution	<=0.5	mg/L
573.48979	cefepime	S	Computational Prediction		
573.48276	cefepime	R	Computational Prediction		
573.48083	cefepime	R	Computational Prediction		
573.24389	cefepime	R	Broth dilution	32	mg/L
573.49089	cefepime	S	Computational Prediction		
573.24371	cefepime	S	Broth dilution	1	mg/L
573.13571	cefepime	S	Broth dilution	<=1	mg/L
573.13267	cefepime	R	Broth dilution	>16	mg/L
573.14007	cefepime	R	Broth dilution	>16	mg/L
573.13994	cefepime	R	Broth dilution	>16	mg/L
573.14201	cefepime	S	Broth dilution	<=1	mg/L
573.14327	cefepime	R	Broth dilution	>16	mg/L
573.13966	cefepime	R	Broth dilution	16	mg/L
573.5692	cefepime	R	Broth dilution	16	mg/L
573.48239	cefepime	S	Computational Prediction		
573.12936	cefepime	R	Broth dilution	>16	mg/L
573.26148	cefepime	S	Broth dilution		
573.13540	cefepime	R	Broth dilution	>16	mg/L
573.17908	cefepime	R	Broth dilution	>32	mg/L
573.13700	cefepime	S	Broth dilution	<=1	mg/L
573.14298	cefepime	R	Broth dilution	>16	mg/L
573.14385	cefepime	R	Broth dilution	>16	mg/L
573.13919	cefepime	R	Broth dilution	>16	mg/L
573.48999	cefepime	S	Computational Prediction		
573.49028	cefepime	R	Computational Prediction		
573.46863	cefepime	R	Broth dilution	>16	mg/L
573.26247	cefepime	S	Broth dilution		
573.7022	cefepime	R	Broth dilution	>32	mg/L
573.15512	cefepime	S	Broth dilution		
573.49068	cefepime	R	Computational Prediction		
573.13790	cefepime	R	Broth dilution	>16	mg/L
573.48221	cefepime	S	Computational Prediction		
573.13387	cefepime	R	Broth dilution	>16	mg/L
573.14450	cefepime	R	Broth dilution	>16	mg/L
573.49156	cefepime	R	Computational Prediction		
573.31076	cefepime	S	Disk diffusion		
573.20061	cefepime	S	Broth dilution	==2	mg/L
573.50461	cefepime	S	Computational Prediction		
573.24402	cefepime	R	Broth dilution	32	mg/L
573.48077	cefepime	R	Computational Prediction		
573.26304	cefepime	R	Broth dilution		
573.13899	cefepime	S	Broth dilution	<=1	mg/L
573.13426	cefepime	R	Broth dilution	>16	mg/L
573.14460	cefepime	S	Broth dilution	<=1	mg/L
573.26308	cefepime	R	Broth dilution		
573.48129	cefepime	R	Computational Prediction		
573.12908	cefepime	S	Broth dilution	<=0.5	mg/L
573.14019	cefepime	S	Broth dilution	<=1	mg/L
573.14295	cefepime	S	Broth dilution	<=1	mg/L
573.14283	cefepime	R	Broth dilution	>16	mg/L
573.50567	cefepime	S	Computational Prediction		
573.48156	cefepime	S	Computational Prediction		
573.14084	cefepime	R	Broth dilution	>16	mg/L
573.14014	cefepime	R	Broth dilution	>16	mg/L
573.13057	cefepime	S	Broth dilution	<=1	mg/L
573.13366	cefepime	S	Broth dilution	<=1	mg/L
573.26103	cefepime	S	Broth dilution		
573.26293	cefepime	R	Broth dilution		
573.15598	cefepime	S	Broth dilution		
573.14517	cefepime	R	Broth dilution	>16	mg/L
573.48048	cefepime	R	Computational Prediction		
573.49069	cefepime	S	Computational Prediction		
573.14178	cefepime	R	Broth dilution	>16	mg/L
573.48183	cefepime	R	Computational Prediction		
573.14066	cefepime	R	Broth dilution	>16	mg/L
573.15580	cefepime	S	Broth dilution		
573.12973	cefepime	R	Broth dilution	>16	mg/L
573.7033	cefepime	R	Broth dilution	>32	mg/L
573.12771	cefepime	R	Broth dilution	==32	mg/L
573.48946	cefepime	S	Computational Prediction		
573.46065	cefepime	S	Broth dilution		
573.13617	cefepime	S	Broth dilution	<=1	mg/L
573.50550	cefepime	S	Computational Prediction		
573.49061	cefepime	R	Computational Prediction		
573.52167	cefepime	R	MIC	>32	mg/L
573.50436	cefepime	S	Computational Prediction		
573.23200	cefepime	R	Disk diffusion		
573.13440	cefepime	R	Broth dilution	>16	mg/L
573.50466	cefepime	R	Computational Prediction		
573.24303	cefepime	R	Broth dilution	64	mg/L
573.48235	cefepime	S	Computational Prediction		
573.13810	cefepime	R	Broth dilution	>16	mg/L
573.5646	cefepime	R	Broth dilution	>64	mg/L
573.48195	cefepime	R	Computational Prediction		
573.14336	cefepime	R	Broth dilution	>16	mg/L
573.15564	cefepime	S	Broth dilution		
573.13875	cefepime	R	Broth dilution	16	mg/L
573.24313	cefepime	R	Broth dilution	32	mg/L
573.13192	cefepime	R	Broth dilution	>16	mg/L
573.26228	cefepime	S	Broth dilution		
573.13456	cefepime	S	Broth dilution	<=1	mg/L
573.13013	cefepime	S	Broth dilution	<=0.5	mg/L
573.26253	cefepime	R	Broth dilution		
573.13005	cefepime	S	Broth dilution	<=0.5	mg/L
573.26226	cefepime	S	Broth dilution		
573.14250	cefepime	R	Broth dilution	>16	mg/L
573.13272	cefepime	R	Broth dilution	>16	mg/L
